samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
5,1.2,3.87,9.76,7.33,5.12,1.0,2.0
5,1.02,4.08,10.27,8.09,5.43,1.0,2.0
5,1.02,3.45,8.1,6.61,5.13,1.0,2.0
5,1.01,4.14,9.86,8.25,5.02,1.0,2.0
5,1.23,3.59,8.75,6.57,4.56,1.0,2.0
5,1.21,3.52,8.8,6.71,3.65,1.0,2.0
5,1.08,4.22,9.76,8.05,3.86,1.0,2.0
5,1.23,3.9,9.77,7.45,3.94,1.0,2.0
5,1.25,4.27,9.65,8.42,4.98,1.0,2.0
5,1.13,3.78,8.38,7.27,4.26,1.0,2.0
5,0.93,4.32,10.18,8.96,4.66,1.0,2.0
5,1.15,4.03,9.02,7.85,4.7,1.0,2.0
5,1.2,4.25,9.39,8.09,4.79,1.0,2.0
5,1.2,3.97,8.52,7.76,4.09,1.0,2.0
5,1.24,4.47,9.72,8.36,5.04,1.0,2.0
5,1.23,4.3,9.78,8.47,5.64,1.0,2.0
5,1.19,3.89,8.51,7.88,4.8,1.0,2.0
5,1.36,4.0,8.16,7.56,4.4,1.0,2.0
5,0.98,3.8,7.94,7.25,4.27,1.0,2.0
5,0.97,3.71,6.96,7.12,4.43,1.0,2.0
5,1.16,4.29,8.01,8.55,5.1,1.0,2.0
5,1.16,4.17,8.08,8.24,4.67,1.0,2.0
5,1.25,3.93,7.92,7.31,4.17,1.0,2.0
5,1.26,3.97,7.7,7.91,5.35,1.0,2.0
5,1.3,3.72,10.81,7.27,6.33,1.0,2.0
5,1.16,3.55,9.18,6.61,4.76,1.0,2.0
5,1.18,3.47,8.34,6.74,4.97,1.0,2.0
5,1.28,3.12,8.17,6.05,3.93,1.0,2.0
5,1.14,3.6,10.99,7.32,5.94,1.0,2.0
5,1.29,3.57,9.8,7.08,5.27,1.0,2.0
5,1.27,3.6,9.44,6.78,4.65,1.0,2.0
5,1.25,3.62,10.3,6.67,5.58,1.0,2.0
5,1.39,3.87,9.25,7.65,4.99,1.0,2.0
5,1.24,3.69,10.17,7.2,5.59,1.0,2.0
5,1.04,4.2,9.1,8.34,4.89,1.0,2.0
5,0.91,3.87,8.09,7.84,4.19,1.0,2.0
5,1.06,3.98,9.01,7.62,3.96,1.0,2.0
5,1.05,3.83,8.08,7.16,4.09,1.0,2.0
5,0.93,3.62,7.99,6.97,4.13,1.0,2.0
5,1.05,3.75,8.08,7.36,3.85,1.0,2.0
5,1.09,3.81,7.9,7.45,4.08,1.0,2.0
5,0.93,3.51,8.56,6.74,4.33,1.0,2.0
5,1.02,3.7,8.07,7.16,3.65,1.0,2.0
5,1.15,3.92,8.63,7.53,4.8,1.0,2.0
5,1.07,3.43,8.23,6.5,3.57,1.0,2.0
5,1.13,3.68,8.7,7.13,3.26,1.0,2.0
5,1.15,3.51,7.62,6.89,3.7,1.0,2.0
5,1.11,3.66,8.56,7.28,3.66,1.0,2.0
5,1.01,3.53,8.55,6.72,4.16,1.0,2.0
5,1.14,3.64,8.19,6.98,4.18,1.0,2.0
5,1.17,3.4,8.53,6.54,3.72,1.0,2.0
5,1.05,3.44,8.67,6.69,4.16,1.0,2.0
5,1.23,3.43,8.26,6.63,3.6,1.0,2.0
5,1.12,3.68,8.86,7.27,3.88,1.0,2.0
5,1.27,4.91,7.75,9.36,3.0,1.0,2.0
5,1.08,4.53,8.3,8.78,4.33,1.0,2.0
5,1.19,4.46,7.28,8.65,3.8,1.0,2.0
5,1.16,4.89,8.37,9.28,4.78,1.0,2.0
5,1.17,4.49,8.16,8.64,4.64,1.0,2.0
5,1.09,4.09,8.45,7.9,4.41,1.0,2.0
5,1.09,4.27,7.47,8.1,4.44,1.0,2.0
5,1.18,4.34,8.36,8.19,4.92,1.0,2.0
5,1.19,4.28,8.32,8.46,4.26,1.0,2.0
5,1.26,4.28,8.03,8.52,4.35,1.0,2.0
5,0.99,3.65,8.47,7.22,4.3,1.0,2.0
5,1.04,3.67,7.79,7.16,4.0,1.0,2.0
5,0.92,3.71,8.37,7.34,4.41,1.0,2.0
5,1.06,3.67,8.53,7.01,4.92,1.0,2.0
5,1.07,3.69,8.4,7.22,4.39,1.0,2.0
5,1.05,3.86,8.6,7.57,4.3,1.0,2.0
5,1.11,3.65,8.65,7.07,4.48,1.0,2.0
5,0.92,3.42,8.21,6.76,4.22,1.0,2.0
5,0.99,4.03,8.27,7.78,5.0,1.0,2.0
5,0.93,3.52,8.14,6.79,3.97,1.0,2.0
3,1.39,5.48,9.8,10.75,5.55,2.0,2.0
